context_bin,n,unweighted_mean_loss
"[0,2)",10506,5.614473827748702
"[2,5)",6598,3.8092222567892593
"[5,9)",6394,3.065523180309951
"[9,17)",6999,2.9458439653143254
"[17,1000000000)",4321,2.913144912490967
