suffix_bin,n,unweighted_mean_loss
"[0,4096)",43,4.541730761354746
"[4096,6144)",5985,4.847675748365276
"[6144,8192)",7659,3.750172222816784
"[8192,10240)",4295,3.5196139978347762
"[10240,12288)",4838,3.48304282380704
"[12288,14336)",2453,4.34834345696415
"[14336,16384)",1679,4.994235339349173
"[16384,24576)",3660,5.266203786305036
"[24576,32768)",1808,5.380225913233726
"[32768,65536)",2398,6.457439384295809
"[65536,1000000000)",0,0.0
